sourceSpu,category,field,source,value,status,missing_handling,active,stage
202426107129,羽绒服,颜色,derived,"灰色,蓝灰色调00382",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,尺码,mdm,180cm;175cm;170cm;165cm;160cm;150cm;140cm,valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,尺码表,derived,"{""title"": ""尺码,衣长,肩宽,胸围,袖长,身高,体重"", ""140cm"": ""140,51.5,34,88,48.5,140,31"", ""150cm"": ""150,56,36.5,93,52.5,150,37"", ""160cm"": ""160,60.5,39,98,56.5,160,45"", ""165cm"": ""165,63.5,41.5,103,59,165,52.5"", ""170cm"": ""170,66.5,44,108,61.5,170,57.5"", ""175cm"": ""175,69.5,46.5,113,64,175,62.5"", ""180cm"": ""180,72.5,49,118,66.5,180,67.5""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,多平台尺码,derived,"{""title"": ""天猫,京东,拼多多,微信视频小店,小红书,快手"", ""140cm"": "",140,,,,"", ""150cm"": "",150,,,,"", ""160cm"": "",160,,,,"", ""165cm"": "",165,,,,"", ""170cm"": "",170,,,,"", ""175cm"": "",175,,,,"", ""180cm"": "",180,,,,""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,唯品会尺码表,derived,"{""title"": ""号型,适合年龄,身高,肩宽,胸围,衣长,袖长,体重"", ""140cm"": ""140/68,8-11岁,140,34,88,51.5,48.5,31"", ""150cm"": ""150/72,11-13岁,150,36.5,93,56,52.5,37"", ""160cm"": ""160/80,13-14岁,160,39,98,60.5,56.5,45"", ""165cm"": ""165/84A,14-15岁,165,41.5,103,63.5,59,52.5"", ""170cm"": ""170/88A,15-16岁,170,44,108,66.5,61.5,57.5"", ""175cm"": ""175/92A,16-17岁,175,46.5,113,69.5,64,62.5"", ""180cm"": ""180/96A,17-18岁,180,49,118,72.5,66.5,67.5""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,抖音尺码表,derived,"{""title"": ""身高(cm),体重(斤),衣长(cm),肩宽(cm),胸围(cm),袖长(cm)"", ""140cm"": ""140,62,51.5,34,88,48.5"", ""150cm"": ""150,74,56,36.5,93,52.5"", ""160cm"": ""160,90,60.5,39,98,56.5"", ""165cm"": ""165,105,63.5,41.5,103,59"", ""170cm"": ""170,115,66.5,44,108,61.5"", ""175cm"": ""175,125,69.5,46.5,113,64"", ""180cm"": ""180,135,72.5,49,118,66.5""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,天猫尺码表,derived,"{""title"": ""身高,体重,肩宽,胸围,袖长,衣长"", ""140cm"": ""140,31,34,88,48.5,51.5"", ""150cm"": ""150,37,36.5,93,52.5,56"", ""160cm"": ""160,45,39,98,56.5,60.5"", ""165cm"": ""165,52.5,41.5,103,59,63.5"", ""170cm"": ""170,57.5,44,108,61.5,66.5"", ""175cm"": ""175,62.5,46.5,113,64,69.5"", ""180cm"": ""180,67.5,49,118,66.5,72.5""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,淘宝尺码表,derived,"{""title"": ""身高,体重,肩宽,胸围,袖长,衣长"", ""140cm"": ""140,31,34,88,48.5,51.5"", ""150cm"": ""150,37,36.5,93,52.5,56"", ""160cm"": ""160,45,39,98,56.5,60.5"", ""165cm"": ""165,52.5,41.5,103,59,63.5"", ""170cm"": ""170,57.5,44,108,61.5,66.5"", ""175cm"": ""175,62.5,46.5,113,64,69.5"", ""180cm"": ""180,67.5,49,118,66.5,72.5""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,好衣库尺码表,derived,"{""title"": ""身高(cm),体重(kg),肩宽(cm),胸围(cm),袖长(cm),衣长(cm)"", ""140cm"": ""140,31,34,88,48.5,51.5"", ""150cm"": ""150,37,36.5,93,52.5,56"", ""160cm"": ""160,45,39,98,56.5,60.5"", ""165cm"": ""165,52.5,41.5,103,59,63.5"", ""170cm"": ""170,57.5,44,108,61.5,66.5"", ""175cm"": ""175,62.5,46.5,113,64,69.5"", ""180cm"": ""180,67.5,49,118,66.5,72.5""}",valid,,True,local assemble; create/full-update gate
202426107129,羽绒服,商家SKU,derived,"{""title"": ""价格,货号,上市时间,数量,商家编码,条形码,零售价,供货价,唯品会货号,唯品会条形码,京东价,划线价,拼多多单买价,拼多多团购价,天猫特卖折扣价,天猫特卖专柜价,采购价,京东自营市场价,有赞标准价,有赞价格,原价,小红书市场价,抖音结算价格,抖音价,快手价,爱库存供货价,爱库存最低价,好衣库结算价,好衣库供货价,好衣库价,好衣库原价,微信视频小店价格,单品货号,1688件重尺-重(g),小红书商家编码,天猫SKU搜索标题"", ""蓝灰色调00382"": {""180cm"": ""799.9,202426107129,2026-09,0,6914678673876,,799.9,799.9,20242610712900382,6914678673876,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673876,1000,20242610712900382180,巴拉巴拉童装羽绒马甲男童两件套"", ""175cm"": ""799.9,202426107129,2026-09,0,6914678673869,,799.9,799.9,20242610712900382,6914678673869,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673869,1000,20242610712900382175,巴拉巴拉童装羽绒马甲男童两件套"", ""170cm"": ""799.9,202426107129,2026-09,0,6914678673852,,799.9,799.9,20242610712900382,6914678673852,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673852,1000,20242610712900382170,巴拉巴拉童装羽绒马甲男童两件套"", ""165cm"": ""799.9,202426107129,2026-09,0,6914678673845,,799.9,799.9,20242610712900382,6914678673845,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673845,1000,20242610712900382165,巴拉巴拉童装羽绒马甲男童两件套"", ""160cm"": ""799.9,202426107129,2026-09,0,6914678673838,,799.9,799.9,20242610712900382,6914678673838,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673838,1000,20242610712900382160,巴拉巴拉童装羽绒马甲男童两件套"", ""150cm"": ""799.9,202426107129,2026-09,0,6914678673821,,799.9,799.9,20242610712900382,6914678673821,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673821,1000,20242610712900382150,巴拉巴拉童装羽绒马甲男童两件套"", ""140cm"": ""799.9,202426107129,2026-09,0,6914678673814,,799.9,799.9,20242610712900382,6914678673814,799.9,799.9,798.9,797.9,799.9,799.9,799.9,799.9,799.9,,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,799.9,,6914678673814,1000,20242610712900382140,巴拉巴拉童装羽绒马甲男童两件套""}}",valid,,True,local assemble; create/full-update gate
